LocusTag	CycId
Lipst1_1_3313	G1IA6-20078-MONOMER
Lipst1_1_244496	G1IA6-18782-MONOMER
Lipst1_1_38038	G1IA6-20610-MONOMER
Lipst1_1_2970	G1IA6-19510-MONOMER
Lipst1_1_3320	G1IA6-20080-MONOMER
Lipst1_1_62267	G1IA6-19020-MONOMER
Lipst1_1_3321	G1IA6-20081-MONOMER
Lipst1_1_31150	G1IA6-24515-MONOMER
Lipst1_1_26432	G1IA6-18926-MONOMER
Lipst1_1_3329	G1IA6-20083-MONOMER
Lipst1_1_244391	G1IA6-18779-MONOMER
Lipst1_1_72788	G1IA6-21377-MONOMER
Lipst1_1_3330	G1IA6-20084-MONOMER
Lipst1_1_26709	G1IA6-18929-MONOMER
Lipst1_1_275555	G1IA6-19428-MONOMER
Lipst1_1_26501	G1IA6-18927-MONOMER
Lipst1_1_261127	G1IA6-19312-MONOMER
Lipst1_1_3336	G1IA6-20086-MONOMER
Lipst1_1_3342	G1IA6-20087-MONOMER
Lipst1_1_3777	G1IA6-20598-MONOMER
Lipst1_1_26629	G1IA6-18928-MONOMER
Lipst1_1_261247	G1IA6-19313-MONOMER
Lipst1_1_72793	G1IA6-21378-MONOMER
Lipst1_1_3347	G1IA6-20089-MONOMER
Lipst1_1_3348	G1IA6-20090-MONOMER
Lipst1_1_261515	G1IA6-19314-MONOMER
Lipst1_1_3078	G1IA6-19536-MONOMER
Lipst1_1_3778	G1IA6-20599-MONOMER
Lipst1_1_3358	G1IA6-20093-MONOMER
